filename x y z t0 t1 t2 t3 t4 t5 t6 t7 t8 t9
reciever10.sac 110 0 50 3.96605e-07 6.48276e-07 9.1106e-07 1.66737e-06 2.51525e-06 3.39411e-06 -12345 -12345 -12345 -12345
reciever11.sac 120 0 50 4.29699e-07 7.05999e-07 9.68369e-07 1.68858e-06 2.53194e-06 3.40404e-06 -12345 -12345 -12345 -12345
reciever12.sac 130 0 50 4.67306e-07 7.63315e-07 1.01495e-06 1.71686e-06 2.54827e-06 3.41475e-06 -12345 -12345 -12345 -12345
reciever13.sac 140 0 50 5.00577e-07 8.28142e-07 1.05983e-06 1.74151e-06 2.56446e-06 3.42566e-06 -12345 -12345 -12345 -12345
reciever14.sac 150 0 50 5.33385e-07 8.9297e-07 1.10288e-06 1.77109e-06 2.5848e-06 3.44329e-06 -12345 -12345 -12345 -12345
reciever15.sac 160 0 50 5.67118e-07 9.60113e-07 1.15143e-06 1.80067e-06 2.60425e-06 3.45673e-06 -12345 -12345 -12345 -12345
reciever16.sac 170 0 50 6.00388e-07 1.01568e-06 1.19997e-06 1.82827e-06 2.62724e-06 3.4752e-06 -12345 -12345 -12345 -12345
reciever17.sac 180 0 50 6.33659e-07 1.07009e-06 1.24852e-06 1.85785e-06 2.64757e-06 3.49115e-06 -12345 -12345 -12345 -12345
reciever18.sac 190 0 50 6.70626e-07 1.13955e-06 1.30714e-06 1.89038e-06 2.67586e-06 3.51046e-06 -12345 -12345 -12345 -12345
reciever19.sac 200 0 50 7.01586e-07 1.18122e-06 1.35934e-06 1.91996e-06 2.7015e-06 3.52893e-06 -12345 -12345 -12345 -12345
reciever1.sac 20 0 50 9.11859e-08 -12345 7.03448e-07 1.55508e-06 2.4391e-06 3.34021e-06 -12345 -12345 -12345 -12345
reciever20.sac 210 0 50 7.35319e-07 1.2391e-06 1.41064e-06 1.95151e-06 2.72626e-06 3.5516e-06 -12345 -12345 -12345 -12345
reciever21.sac 220 0 50 7.69976e-07 1.31319e-06 1.46285e-06 1.97418e-06 2.75367e-06 3.57259e-06 4.47156e-06 -12345 -12345 -12345
reciever22.sac 230 0 50 8.04519e-07 1.38355e-06 1.51771e-06 2.01186e-06 2.78016e-06 3.58571e-06 4.48575e-06 -12345 -12345 -12345
reciever23.sac 240 0 50 8.37289e-07 1.43885e-06 1.57505e-06 2.04876e-06 2.81245e-06 3.61184e-06 4.50419e-06 -12345 -12345 -12345
reciever24.sac 250 0 50 8.70059e-07 1.51054e-06 1.6283e-06 2.14375e-06 2.83935e-06 3.63495e-06 4.51979e-06 -12345 -12345 -12345
reciever25.sac 260 0 50 9.03853e-07 1.56584e-06 1.6836e-06 2.17788e-06 2.87074e-06 3.66108e-06 4.54106e-06 -12345 -12345 -12345
reciever26.sac 270 0 50 9.39695e-07 1.61704e-06 1.73788e-06 2.21292e-06 2.90034e-06 3.68822e-06 4.55667e-06 -12345 -12345 -12345
reciever27.sac 280 0 50 9.73489e-07 1.68463e-06 1.79113e-06 2.24336e-06 2.92904e-06 3.71033e-06 4.57511e-06 -12345 -12345 -12345
