filename x y z t0 t1 t2 t3 t4 t5 t6 t7 t8 t9
reciever10.sac 110 0 50 3.95752e-07 6.54484e-07 9.07269e-07 1.66711e-06 2.51604e-06 3.389e-06 -12345 -12345 -12345 -12345
reciever11.sac 120 0 50 4.28173e-07 7.49029e-07 9.64642e-07 1.68854e-06 2.52879e-06 3.39988e-06 -12345 -12345 -12345 -12345
reciever12.sac 130 0 50 4.6495e-07 7.87091e-07 1.01642e-06 1.71478e-06 2.54751e-06 3.41316e-06 -12345 -12345 -12345 -12345
reciever13.sac 140 0 50 4.97974e-07 8.50544e-07 1.0598e-06 1.74181e-06 2.56461e-06 3.42644e-06 -12345 -12345 -12345 -12345
reciever14.sac 150 0 50 5.3325e-07 9.01964e-07 1.10466e-06 1.76884e-06 2.58578e-06 3.44083e-06 -12345 -12345 -12345 -12345
reciever15.sac 160 0 50 5.66275e-07 9.6323e-07 1.15046e-06 1.79747e-06 2.60288e-06 3.45743e-06 -12345 -12345 -12345 -12345
reciever16.sac 170 0 50 6.0005e-07 1.02559e-06 1.20007e-06 1.82768e-06 2.6273e-06 3.47403e-06 -12345 -12345 -12345 -12345
reciever17.sac 180 0 50 6.32324e-07 1.08357e-06 1.24892e-06 1.85789e-06 2.64928e-06 3.48842e-06 -12345 -12345 -12345 -12345
reciever18.sac 190 0 50 6.69101e-07 1.13937e-06 1.30541e-06 1.89128e-06 2.67615e-06 3.50834e-06 -12345 -12345 -12345 -12345
reciever19.sac 200 0 50 7.00624e-07 -12345 1.35807e-06 1.91275e-06 2.69895e-06 3.52937e-06 -12345 -12345 -12345 -12345
reciever1.sac 20 0 50 9.26489e-08 -12345 7.03557e-07 1.55236e-06 2.43756e-06 3.33369e-06 -12345 -12345 -12345 -12345
reciever20.sac 210 0 50 7.3515e-07 1.27175e-06 1.40911e-06 1.93183e-06 2.725e-06 3.54929e-06 -12345 -12345 -12345 -12345
reciever21.sac 220 0 50 7.67322e-07 1.31625e-06 1.4639e-06 1.96022e-06 2.74834e-06 3.56252e-06 -12345 -12345 -12345 -12345
reciever22.sac 230 0 50 8.0151e-07 1.39239e-06 1.51591e-06 1.98808e-06 2.77731e-06 3.58329e-06 -12345 -12345 -12345 -12345
reciever23.sac 240 0 50 8.38879e-07 1.44811e-06 1.5772e-06 2.03451e-06 2.80891e-06 3.60768e-06 -12345 -12345 -12345 -12345
reciever24.sac 250 0 50 8.71477e-07 1.52055e-06 1.62642e-06 2.07774e-06 2.84051e-06 3.63026e-06 -12345 -12345 -12345 -12345
reciever25.sac 260 0 50 9.06461e-07 1.56977e-06 1.68028e-06 2.10231e-06 2.86772e-06 3.65735e-06 -12345 -12345 -12345 -12345
reciever26.sac 270 0 50 9.38264e-07 1.62734e-06 1.736e-06 2.15152e-06 2.89932e-06 3.68264e-06 -12345 -12345 -12345 -12345
reciever27.sac 280 0 50 9.73248e-07 1.68492e-06 1.78707e-06 2.19583e-06 2.9318e-06 3.70884e-06 -12345 -12345 -12345 -12345
reciever28.sac 290 0 50 1.00505e-06 1.73321e-06 1.84558e-06 2.25182e-06 2.96076e-06 3.73503e-06 -12345 -12345 -12345 -12345
reciever29.sac 300 0 50 1.04401e-06 1.80565e-06 1.90408e-06 2.32054e-06 2.99149e-06 3.76484e-06 -12345 -12345 -12345 -12345
reciever2.sac 30 0 50 1.27505e-07 2.02446e-07 7.10903e-07 1.555e-06 2.44083e-06 3.3399e-06 -12345 -12345 -12345 -12345
reciever30.sac 310 0 50 1.07422e-06 1.86044e-06 1.96259e-06 2.35954e-06 3.02868e-06 3.79284e-06 4.64573e-06 -12345 -12345 -12345
reciever31.sac 320 0 50 1.10611e-06 1.9333e-06 2.0177e-06 2.40291e-06 3.13779e-06 3.81836e-06 4.67434e-06 -12345 -12345 -12345
reciever32.sac 330 0 50 1.14092e-06 1.98775e-06 2.08167e-06 2.45463e-06 3.16072e-06 3.84675e-06 4.69745e-06 -12345 -12345 -12345
reciever33.sac 340 0 50 1.1715e-06 2.04764e-06 2.13612e-06 2.50908e-06 3.19085e-06 3.87869e-06 4.72165e-06 -12345 -12345 -12345
reciever34.sac 350 0 50 1.21053e-06 2.10753e-06 2.20282e-06 2.56081e-06 3.22558e-06 3.913e-06 4.74806e-06 -12345 -12345 -12345
reciever35.sac 360 0 50 1.2427e-06 2.17151e-06 2.25862e-06 2.61661e-06 3.25833e-06 3.9414e-06 4.77337e-06 -12345 -12345 -12345
reciever36.sac 370 0 50 1.27803e-06 2.22323e-06 2.31443e-06 2.6697e-06 3.29175e-06 3.97689e-06 4.80198e-06 -12345 -12345 -12345
reciever37.sac 380 0 50 1.30967e-06 2.28721e-06 2.37024e-06 2.71734e-06 3.3245e-06 4.00765e-06 4.82509e-06 -12345 -12345 -12345
reciever38.sac 390 0 50 1.34395e-06 2.34846e-06 2.43013e-06 2.77043e-06 3.35923e-06 4.03841e-06 4.8526e-06 -12345 -12345 -12345
reciever39.sac 400 0 50 1.37717e-06 2.40699e-06 2.49002e-06 2.82487e-06 3.39329e-06 4.07508e-06 4.88121e-06 -12345 -12345 -12345
reciever3.sac 40 0 50 1.6149e-07 2.45145e-07 7.2426e-07 1.56263e-06 2.44503e-06 3.34488e-06 -12345 -12345 -12345 -12345
reciever40.sac 410 0 50 1.41408e-06 2.46688e-06 2.55672e-06 2.89504e-06 3.43064e-06 4.12148e-06 4.91143e-06 -12345 -12345 -12345
reciever41.sac 420 0 50 1.44805e-06 2.51996e-06 2.61287e-06 2.95052e-06 3.46511e-06 4.15976e-06 4.94515e-06 -12345 -12345 -12345
reciever42.sac 430 0 50 1.48046e-06 2.58993e-06 2.67153e-06 3.00022e-06 3.50395e-06 4.23519e-06 4.97234e-06 -12345 -12345 -12345
reciever43.sac 440 0 50 1.51532e-06 2.64886e-06 2.72513e-06 3.03865e-06 3.54098e-06 4.26446e-06 5.00171e-06 -12345 -12345 -12345
reciever44.sac 450 0 50 1.54834e-06 2.70778e-06 2.78177e-06 3.09427e-06 3.58614e-06 4.29937e-06 5.03434e-06 -12345 -12345 -12345
reciever45.sac 460 0 50 1.58198e-06 2.76302e-06 2.85054e-06 3.15293e-06 3.64485e-06 4.33539e-06 5.07241e-06 -12345 -12345 -12345
