filename x y z t0 t1 t2 t3 t4 t5 t6 t7 t8 t9
reciever10.sac 110 0 50 3.94792e-07 6.63542e-07 8.71194e-07 1.67269e-06 2.5154e-06 3.39535e-06 4.32933e-06 -12345 -12345 -12345
reciever11.sac 120 0 50 4.29714e-07 6.92852e-07 9.13321e-07 1.68921e-06 2.52746e-06 3.40309e-06 4.33565e-06 -12345 -12345 -12345
reciever12.sac 130 0 50 4.66682e-07 7.30252e-07 9.92463e-07 1.71577e-06 2.53791e-06 3.41551e-06 4.34559e-06 -12345 -12345 -12345
reciever13.sac 140 0 50 4.9242e-07 8.01313e-07 1.02747e-06 1.74012e-06 2.55796e-06 3.42793e-06 4.35598e-06 -12345 -12345 -12345
reciever14.sac 150 0 50 5.23772e-07 8.85808e-07 1.06873e-06 1.77037e-06 2.58236e-06 3.44189e-06 4.36681e-06 -12345 -12345 -12345
reciever15.sac 160 0 50 5.68228e-07 9.50941e-07 1.11029e-06 1.79914e-06 2.60501e-06 3.46129e-06 4.37946e-06 -12345 -12345 -12345
reciever16.sac 170 0 50 5.8601e-07 1.0291e-06 1.16836e-06 1.82718e-06 2.62789e-06 3.47604e-06 4.3921e-06 -12345 -12345 -12345
reciever17.sac 180 0 50 6.3421e-07 1.08121e-06 1.21561e-06 1.86481e-06 2.63348e-06 3.49389e-06 4.4043e-06 -12345 -12345 -12345
reciever18.sac 190 0 50 6.65095e-07 1.12857e-06 1.26521e-06 1.8899e-06 2.67057e-06 3.51484e-06 -12345 4.41899e-06 -12345 -12345
reciever19.sac 200 0 50 7.0955e-07 1.20711e-06 1.32263e-06 1.91277e-06 2.70765e-06 3.53346e-06 -12345 4.4355e-06 -12345 -12345
reciever1.sac 20 0 50 9.21527e-08 -12345 6.68427e-07 1.55385e-06 2.43928e-06 3.33747e-06 -12345 -12345 -12345 -12345
reciever20.sac 210 0 50 7.33712e-07 1.26134e-06 1.36703e-06 1.92679e-06 2.72514e-06 3.55053e-06 -12345 4.44976e-06 -12345 -12345
reciever21.sac 220 0 50 7.69332e-07 1.3092e-06 1.42626e-06 1.97228e-06 2.74978e-06 3.56252e-06 -12345 4.46402e-06 -12345 -12345
reciever22.sac 230 0 50 8.0686e-07 1.39384e-06 1.45297e-06 2.01006e-06 2.77821e-06 3.58743e-06 -12345 4.47753e-06 -12345 -12345
reciever23.sac 240 0 50 8.38892e-07 1.472e-06 1.5148e-06 2.04011e-06 2.8101e-06 3.60975e-06 -12345 4.49855e-06 -12345 -12345
reciever24.sac 250 0 50 8.72667e-07 1.54365e-06 1.56289e-06 2.07875e-06 2.8406e-06 3.63294e-06 -12345 4.51806e-06 -12345 -12345
reciever25.sac 260 0 50 9.11174e-07 1.58924e-06 1.63616e-06 2.1028e-06 2.86972e-06 3.65784e-06 -12345 4.53458e-06 -12345 -12345
reciever26.sac 270 0 50 9.39797e-07 1.64786e-06 1.66669e-06 2.15432e-06 2.90092e-06 3.67931e-06 -12345 4.55484e-06 -12345 -12345
reciever27.sac 280 0 50 9.7216e-07 1.69029e-06 1.74607e-06 2.19467e-06 2.93212e-06 3.70764e-06 -12345 4.57811e-06 -12345 -12345
reciever28.sac 290 0 50 1.00548e-06 1.75859e-06 1.78881e-06 2.27969e-06 2.96124e-06 3.73512e-06 -12345 4.60288e-06 -12345 -12345
reciever29.sac 300 0 50 1.04373e-06 1.78486e-06 1.82774e-06 2.31661e-06 2.99244e-06 3.76346e-06 -12345 4.62539e-06 -12345 -12345
reciever2.sac 30 0 50 1.21253e-07 2.02344e-07 6.83082e-07 1.56294e-06 2.45103e-06 3.33631e-06 -12345 -12345 -12345 -12345
reciever30.sac 310 0 50 1.07458e-06 1.897e-06 1.93771e-06 2.35686e-06 3.02294e-06 3.79179e-06 4.64745e-06 -12345 -12345 -12345
reciever31.sac 320 0 50 1.10837e-06 1.93837e-06 1.97547e-06 2.40316e-06 3.05786e-06 3.81664e-06 4.67263e-06 -12345 -12345 -12345
reciever32.sac 330 0 50 1.1414e-06 2.00213e-06 2.0373e-06 2.45112e-06 3.08941e-06 3.84839e-06 4.69656e-06 -12345 -12345 -12345
reciever33.sac 340 0 50 1.17257e-06 2.05816e-06 2.09139e-06 2.50818e-06 3.12097e-06 3.87816e-06 4.72364e-06 -12345 -12345 -12345
reciever34.sac 350 0 50 1.21184e-06 2.11122e-06 2.15712e-06 2.56027e-06 3.11635e-06 3.91189e-06 4.74946e-06 -12345 -12345 -12345
reciever35.sac 360 0 50 1.24176e-06 2.16893e-06 2.20414e-06 2.61402e-06 3.15714e-06 3.94365e-06 4.77528e-06 -12345 -12345 -12345
reciever36.sac 370 0 50 1.27667e-06 2.22317e-06 2.26459e-06 2.66198e-06 3.2318e-06 3.9754e-06 4.80172e-06 -12345 -12345 -12345
reciever37.sac 380 0 50 1.30846e-06 2.28474e-06 2.32616e-06 2.71821e-06 3.2672e-06 4.00715e-06 4.82628e-06 -12345 -12345 -12345
reciever38.sac 390 0 50 1.34399e-06 2.334e-06 2.37654e-06 2.77278e-06 3.28413e-06 4.0399e-06 4.85525e-06 -12345 -12345 -12345
reciever39.sac 400 0 50 1.37827e-06 2.39893e-06 2.44147e-06 2.82487e-06 3.32492e-06 4.07463e-06 4.88107e-06 -12345 -12345 -12345
reciever3.sac 40 0 50 1.55397e-07 2.46576e-07 6.8471e-07 1.56672e-06 2.446e-06 3.34325e-06 -12345 -12345 -12345 -12345
reciever40.sac 410 0 50 1.41443e-06 2.46461e-06 2.51311e-06 2.88524e-06 3.42935e-06 4.12027e-06 4.9094e-06 -12345 -12345 -12345
reciever41.sac 420 0 50 1.45124e-06 2.5232e-06 2.56738e-06 2.89126e-06 3.46599e-06 4.14781e-06 4.94222e-06 -12345 -12345 -12345
reciever42.sac 430 0 50 1.48109e-06 2.58366e-06 2.62737e-06 2.94946e-06 3.50354e-06 4.17882e-06 4.96781e-06 -12345 -12345 -12345
reciever43.sac 440 0 50 1.51444e-06 2.6483e-06 2.67806e-06 2.99427e-06 3.54842e-06 4.19711e-06 5.00287e-06 -12345 -12345 -12345
reciever44.sac 450 0 50 1.54897e-06 2.7055e-06 2.74316e-06 3.04693e-06 3.59605e-06 4.23368e-06 5.03509e-06 -12345 -12345 -12345
reciever45.sac 460 0 50 1.57998e-06 2.74967e-06 2.80222e-06 3.10883e-06 3.64826e-06 4.26946e-06 5.073e-06 -12345 -12345 -12345
reciever46.sac 470 0 50 1.61626e-06 2.78781e-06 2.84593e-06 3.16565e-06 3.68948e-06 4.30683e-06 5.10238e-06 -12345 -12345 -12345
reciever47.sac 480 0 50 1.65254e-06 2.91144e-06 2.92294e-06 3.2197e-06 3.73619e-06 4.34499e-06 5.14029e-06 -12345 -12345 -12345
reciever48.sac 490 0 50 1.68649e-06 2.9375e-06 2.95765e-06 3.27559e-06 3.76183e-06 4.3919e-06 5.17441e-06 -12345 -12345 -12345
reciever49.sac 500 0 50 1.71399e-06 2.9896e-06 3.0352e-06 3.3301e-06 3.81404e-06 4.42688e-06 5.21043e-06 -12345 -12345 -12345
reciever4.sac 50 0 50 2.02732e-07 3.03682e-07 7.01807e-07 1.5811e-06 2.45383e-06 3.34788e-06 -12345 -12345 -12345 -12345
reciever50.sac 510 0 50 1.74851e-06 3.04822e-06 3.09381e-06 3.38534e-06 3.85526e-06 4.50747e-06 5.24454e-06 -12345 -12345 -12345
reciever51.sac 520 0 50 1.78625e-06 3.11335e-06 3.17197e-06 3.44388e-06 3.90918e-06 4.53937e-06 5.29023e-06 -12345 -12345 -12345
reciever52.sac 530 0 50 1.81667e-06 3.185e-06 3.21757e-06 3.49874e-06 3.95933e-06 4.572e-06 5.33591e-06 -12345 -12345 -12345
reciever53.sac 540 0 50 1.85003e-06 3.23711e-06 3.28033e-06 3.55579e-06 4.01001e-06 4.61116e-06 5.37759e-06 -12345 -12345 -12345
reciever54.sac 550 0 50 1.88748e-06 3.30224e-06 3.33813e-06 3.60919e-06 4.05964e-06 4.64741e-06 5.41446e-06 -12345 -12345 -12345
reciever55.sac 560 0 50 1.92025e-06 3.3587e-06 3.39592e-06 3.66113e-06 4.10715e-06 4.6873e-06 5.45293e-06 -12345 -12345 -12345
reciever56.sac 570 0 50 1.95419e-06 3.42727e-06 3.46645e-06 3.72842e-06 4.16523e-06 4.73298e-06 5.4954e-06 -12345 -12345 -12345
reciever5.sac 60 0 50 2.1864e-07 3.60674e-07 7.20533e-07 1.58943e-06 2.45887e-06 3.35251e-06 -12345 -12345 -12345 -12345
reciever6.sac 70 0 50 2.58216e-07 4.16851e-07 7.58799e-07 1.59775e-06 2.46839e-06 3.35715e-06 -12345 -12345 -12345 -12345
reciever7.sac 80 0 50 2.9042e-07 4.9501e-07 7.67754e-07 1.60986e-06 2.48182e-06 3.36641e-06 -12345 -12345 -12345 -12345
reciever8.sac 90 0 50 3.24564e-07 5.29205e-07 8.0602e-07 1.62046e-06 2.49469e-06 3.37335e-06 -12345 -12345 -12345 -12345
reciever9.sac 100 0 50 3.63752e-07 6.05736e-07 8.36144e-07 1.63863e-06 2.50253e-06 3.38609e-06 -12345 -12345 -12345 -12345
